項目別,樣本數,總計,臺灣客家人,福老人,大陸各省市人,原住民,臺灣人,其他族群,不知道/未回答
內湖區,201,100.0,15.9,61.2,10.9,2.5,8.5,-,1.0
士林區,100,100.0,14.1,68.6,6.5,0.7,4.7,3.9,1.5
北投區,101,100.0,9.8,62.1,13.8,1.2,12.4,0.6,0.2
桃園市,"4,956",100.0,33.4,53.7,7.0,2.0,2.7,0.4,0.8
桃園區,202,100.0,18.3,69.2,8.5,1.3,2.8,-,-
中壢區,610,100.0,43.8,43.8,7.3,1.2,2.3,0.2,1.4
大溪區,404,100.0,21.0,64.9,9.0,3.6,1.2,-,0.3
楊梅區,466,100.0,63.6,24.9,6.5,1.7,1.0,1.4,0.9
蘆竹區,202,100.0,10.9,77.0,7.4,1.1,3.0,-,0.6
大園區,407,100.0,10.8,76.1,2.5,0.9,8.7,1.0,0.0
龜山區,104,100.0,8.7,79.9,9.0,1.1,1.3,-,-
八德區,529,100.0,21.1,64.1,6.4,2.1,4.7,1.3,0.4
龍潭區,411,100.0,52.4,33.0,7.9,3.5,1.2,0.6,1.4
帄鎮區,608,100.0,52.8,32.4,7.3,2.0,2.9,0.3,2.3
新屋區,407,100.0,74.9,21.4,1.8,1.2,0.5,-,0.1
觀音區,406,100.0,47.2,45.2,4.4,1.3,0.6,-,1.3
復興區,200,100.0,19.5,38.8,1.9,39.5,0.2,-,0.1
臺中市,"5,362",100.0,12.6,74.6,4.6,2.0,5.3,0.0,0.9
中區,103,100.0,13.0,71.5,12.6,0.4,1.6,0.9,-
東區,404,100.0,12.6,74.7,2.9,2.6,6.7,-,0.5
南區,104,100.0,13.3,71.8,5.2,1.0,8.7,-,-
西區,101,100.0,8.4,65.5,10.4,3.0,12.8,-,-
北區,103,100.0,12.5,72.8,10.5,1.2,3.0,-,-
西屯區,105,100.0,10.4,67.8,3.8,1.3,13.4,-,3.2
南屯區,100,100.0,11.6,75.0,4.7,1.8,5.3,-,1.7
北屯區,106,100.0,9.9,72.7,7.1,4.4,3.6,-,2.3
豐原區,203,100.0,15.5,76.8,3.6,0.1,3.2,-,0.9
東勢區,400,100.0,79.3,15.1,0.8,4.5,0.1,-,0.3
大甲區,103,100.0,8.9,80.6,1.8,-,6.8,-,1.9
清水區,103,100.0,6.9,84.5,0.8,1.6,6.3,-,-
沙鹿區,100,100.0,7.8,81.6,5.0,2.8,2.8,-,-
梧棲區,100,100.0,6.7,82.8,-,3.6,5.8,-,1.0
后里區,101,100.0,8.6,80.5,5.1,-,3.1,-,2.8
神岡區,101,100.0,6.2,84.6,1.0,-,5.9,-,2.2
潭子區,101,100.0,7.4,77.6,8.2,-,5.2,-,1.6
大雅區,101,100.0,8.6,76.5,5.9,-,9.0,-,-
新社區,405,100.0,38.1,50.4,10.4,-,0.4,-,0.7
石岡區,404,100.0,58.8,37.9,1.3,1.4,0.5,-,0.1
外埔區,403,100.0,15.0,79.2,2.1,2.2,1.2,0.3,-
大安區,101,100.0,9.0,82.0,0.3,1.8,4.2,0.4,2.4
烏日區,403,100.0,8.3,76.5,3.6,5.2,5.7,0.3,0.4
大肚區,101,100.0,7.5,78.8,6.0,2.7,4.9,-,-
龍井區,100,100.0,5.1,82.4,3.6,4.5,4.5,-,-
霧峰區,101,100.0,7.9,82.4,1.9,1.1,6.7,-,-
太帄區,203,100.0,8.9,79.4,4.0,1.3,5.5,-,0.9
大里區,202,100.0,11.8,84.4,2.8,-,1.0,-,-
和帄區,400,100.0,26.2,54.3,4.1,14.9,0.2,0.1,0.2
臺南市,"3,787",100.0,5.9,80.2,3.5,2.8,6.7,0.1,0.8
新營區,103,100.0,7.3,73.7,1.6,2.5,14.2,-,0.6
鹽水區,101,100.0,5.6,86.3,1.1,-,6.1,-,0.9
白河區,103,100.0,4.2,83.4,1.3,5.3,5.3,-,0.5
柳營區,103,100.0,2.3,82.4,2.6,8.1,3.6,-,0.9
後壁區,102,100.0,2.9,86.2,2.7,1.3,3.7,2.2,1.0
東山區,100,100.0,3.6,85.2,1.8,2.5,6.9,-,-
麻豆區,103,100.0,3.7,82.6,1.2,1.0,10.5,-,1.1
下營區,103,100.0,7.3,74.5,-,1.0,13.2,-,4.0
六甲區,103,100.0,1.1,89.5,2.1,0.9,5.7,-,0.7
官田區,102,100.0,5.2,80.9,3.9,2.1,5.9,0.8,1.1
大內區,101,100.0,5.7,79.2,0.2,9.1,3.8,-,2.1
佳里區,100,100.0,3.4,75.8,0.8,2.8,17.3,-,-
學甲區,100,100.0,0.9,90.5,1.4,-,7.2,-,-
西港區,101,100.0,2.1,89.3,2.0,0.6,6.0,-,-
七股區,102,100.0,1.9,89.6,0.7,2.8,4.5,-,0.6
將軍區,101,100.0,1.3,91.3,1.3,0.9,5.3,-,-
北門區,102,100.0,3.8,74.7,2.2,-,18.3,0.3,0.7
新化區,104,100.0,9.6,78.2,5.3,1.7,5.2,-,-
善化區,101,100.0,3.2,91.0,1.6,0.3,3.9,-,-
新市區,104,100.0,6.6,78.7,2.9,6.4,4.8,-,0.5
安定區,102,100.0,2.3,79.7,2.9,4.3,10.5,-,0.4
山上區,100,100.0,4.5,71.3,-,6.8,15.1,-,2.3
玉井區,103,100.0,3.2,80.9,-,4.4,11.0,-,0.5
楠西區,102,100.0,11.9,71.1,1.3,8.2,1.5,6.0,-
南化區,100,100.0,8.8,60.1,-,0.6,2.4,-,28.1
左鎮區,102,100.0,9.1,62.3,6.4,18.5,2.7,-,1.0
仁德區,102,100.0,6.3,81.5,3.5,0.4,8.3,-,-
歸仁區,106,100.0,2.2,81.5,6.6,2.9,6.8,-,-
關廟區,103,100.0,2.1,86.3,2.0,2.4,5.4,-,1.8
龍崎區,106,100.0,26.6,71.8,0.3,0.4,1.0,-,-
永康區,103,100.0,10.4,73.6,4.8,4.2,6.9,-,-
東區,104,100.0,8.7,80.2,7.3,0.4,1.4,0.4,1.5
南區,102,100.0,7.7,75.6,3.6,6.1,5.9,-,1.1
北區,104,100.0,8.7,68.2,11.0,2.0,9.4,-,0.8
安南區,104,100.0,5.6,88.8,0.8,-,4.9,-,-
安帄區,104,100.0,4.3,87.2,2.1,4.7,1.7,-,-
中西區,101,100.0,2.1,81.1,5.0,6.0,5.9,-,-
高雄市,"5,599",100.0,10.9,73.5,5.0,2.8,6.4,0.1,1.3
鹽埕區,101,100.0,0.4,87.1,3.6,-,9.0,-,-
鼓山區,100,100.0,3.7,66.8,14.9,0.1,12.0,-,2.5
左營區,105,100.0,10.9,61.4,9.1,4.8,11.4,-,2.4
楠梓區,106,100.0,11.6,66.1,9.3,-,10.4,-,2.7
三民區,205,100.0,11.1,78.3,2.2,1.8,4.2,-,2.3
新興區,100,100.0,7.2,83.2,4.1,-,5.5,-,-
前金區,101,100.0,4.4,84.5,4.7,1.4,3.6,0.6,0.8
苓雅區,103,100.0,2.8,71.9,11.3,6.8,7.2,-,-
前鎮區,103,100.0,7.1,82.2,2.4,1.6,3.4,-,3.2
旗津區,101,100.0,6.5,70.8,2.3,0.5,3.5,-,16.4
小港區,104,100.0,5.3,79.7,4.9,1.7,6.4,-,2.0
鳳山區,206,100.0,7.7,74.1,3.6,5.7,8.9,-,-
林園區,100,100.0,7.9,73.0,7.9,3.1,6.7,-,1.4
大寮區,100,100.0,7.9,75.0,9.3,3.4,4.4,-,-
大樹區,104,100.0,4.3,88.9,1.6,2.4,2.2,-,0.6
大社區,103,100.0,11.5,72.6,4.4,1.4,10.1,-,-
仁武區,102,100.0,10.1,80.3,0.4,0.8,8.2,-,0.2
鳥松區,103,100.0,19.1,71.9,5.7,1.1,1.9,-,0.2
岡山區,106,100.0,3.0,85.5,6.3,3.0,2.2,-,-
橋頭區,102,100.0,1.7,89.5,3.6,1.1,4.2,-,-
燕巢區,100,100.0,7.5,79.9,3.2,1.1,7.4,0.9,-
田寮區,100,100.0,0.3,80.3,14.5,-,4.0,-,0.9
阿蓮區,102,100.0,4.7,79.7,-,2.3,10.7,-,2.6
路竹區,105,100.0,8.4,71.6,3.8,2.3,11.3,2.2,0.5
湖內區,106,100.0,3.9,83.8,2.1,-,6.4,-,3.8
茄萣區,104,100.0,3.3,87.7,1.7,2.2,5.3,-,-
永安區,104,100.0,1.4,89.2,0.9,0.7,7.9,-,-
彌陀區,100,100.0,4.9,85.1,2.8,1.6,4.7,-,0.9
梓官區,105,100.0,2.0,79.1,2.0,0.6,16.1,-,0.3
旗山區,405,100.0,22.7,67.1,1.2,4.9,3.9,0.1,-
美濃區,403,100.0,87.1,9.0,1.7,0.2,0.8,-,1.2
六龜區,400,100.0,37.5,44.1,3.7,10.8,0.3,3.6,0.1
甲仙區,400,100.0,35.3,53.0,1.2,7.5,2.0,0.1,0.9
杉林區,404,100.0,58.2,31.0,6.1,3.5,1.0,0.2,-
內門區,102,100.0,0.7,90.3,-,7.2,1.8,-,-
茂林區,101,100.0,0.9,83.3,14.8,0.8,0.2,-,-
桃源區,102,100.0,0.7,82.8,0.4,15.9,0.2,-,-
那瑪夏,101,100.0,1.2,84.9,0.0,12.1,1.1,0.6,-
宜蘭縣,"1,206",100.0,5.1,77.5,3.9,4.2,6.5,0.6,2.1
宜蘭市,100,100.0,1.9,75.2,4.4,7.7,10.8,-,-
羅東鎮,101,100.0,4.9,82.5,6.0,2.9,3.7,-,-
蘇澳鎮,100,100.0,5.1,72.8,10.2,1.2,7.5,2.0,1.1
頭城鎮,100,100.0,2.3,75.9,6.0,6.7,8.4,-,0.8
礁溪鄉,101,100.0,3.8,88.3,1.0,-,5.7,1.1,-
壯圍鄉,101,100.0,1.0,81.2,1.1,0.4,11.0,1.8,3.4
員山鄉,101,100.0,12.0,80.8,4.1,0.7,0.9,1.6,-
冬山鄉,101,100.0,11.7,82.6,0.5,1.0,4.2,-,-
五結鄉,101,100.0,3.9,82.9,3.6,2.9,6.0,-,0.7
三星鄉,100,100.0,10.0,72.9,3.3,6.4,5.3,-,2.1
大同鄉,100,100.0,1.4,47.9,0.2,15.9,1.6,0.2,32.8
南澳鄉,100,100.0,1.6,55.1,6.8,21.6,14.1,-,0.7
新竹縣,"4,840",100.0,64.9,26.6,3.7,2.1,1.6,0.2,1.0
竹北市,468,100.0,42.5,46.6,5.8,0.9,2.8,0.1,1.3
竹東鎮,414,100.0,82.5,14.9,1.2,0.4,0.8,0.1,0.2
新埔鎮,413,100.0,81.0,13.8,1.3,0.2,0.3,0.5,2.9
關西鎮,415,100.0,87.0,10.6,0.5,1.2,0.3,0.4,-
湖口鄉,408,100.0,71.7,18.6,6.9,1.3,1.4,0.0,0.2
新豐鄉,403,100.0,48.0,44.3,3.6,0.9,1.7,0.8,0.6
芎林鄉,402,100.0,80.5,16.9,1.4,0.5,0.4,-,0.3
橫山鄉,406,100.0,78.6,15.9,4.1,1.1,-,0.1,0.2
北埔鄉,407,100.0,81.2,11.5,0.4,0.6,0.5,-,5.8
寶山鄉,400,100.0,70.3,22.0,2.5,0.2,2.6,-,2.4
峨眉鄉,404,100.0,87.6,9.9,1.1,1.3,0.2,0.1,0.0
尖石鄉,200,100.0,18.5,39.6,2.3,30.8,8.7,-,0.1
五峰鄉,100,100.0,6.2,50.6,22.6,20.5,-,-,-
苗栗縣,"7,323",100.0,57.5,37.1,2.3,1.2,1.2,0.1,0.5
苗栗市,405,100.0,81.1,14.4,2.0,0.5,2.0,-,-
苑裡鎮,409,100.0,21.9,73.5,1.8,-,1.7,0.3,0.8
通霄鎮,404,100.0,25.4,66.1,0.9,1.8,5.1,0.2,0.4
竹南鎮,412,100.0,23.0,72.2,2.3,1.0,0.7,0.4,0.4
頭份鎮,416,100.0,69.3,25.2,2.8,0.7,1.0,-,1.1
後龍鎮,409,100.0,25.7,70.9,1.1,0.2,0.7,-,1.3
卓蘭鎮,411,100.0,67.2,29.0,2.0,0.3,0.8,-,0.7
大湖鄉,408,100.0,88.1,9.6,0.3,1.2,0.5,-,0.2
公館鄉,403,100.0,86.4,11.1,1.5,0.4,0.2,-,0.4
銅鑼鄉,403,100.0,89.6,7.7,1.1,0.9,-,0.3,0.3
南庄鄉,404,100.0,73.0,16.2,4.4,6.0,-,-,0.3
頭屋鄉,408,100.0,85.3,9.5,1.9,1.0,0.7,-,1.5
三義鄉,408,100.0,67.0,31.7,0.5,0.2,0.5,0.1,0.0
西湖鄉,408,100.0,61.5,34.4,3.3,0.3,0.2,-,0.4
造橋鄉,409,100.0,81.0,17.1,1.7,-,0.1,-,0.1
三灣鄉,404,100.0,79.4,15.3,0.7,0.5,3.5,-,0.7
獅潭鄉,401,100.0,79.2,18.2,0.4,1.6,0.1,0.3,0.1
泰安鄉,401,100.0,42.8,22.3,18.1,16.2,0.6,0.0,-
彰化縣,"2,623",100.0,4.2,83.8,3.1,1.2,6.1,0.2,1.5
彰化市,101,100.0,3.5,83.7,6.2,-,4.5,-,2.0
鹿港鎮,102,100.0,2.4,82.0,2.4,3.8,5.1,-,4.4
和美鎮,103,100.0,3.7,80.3,3.2,-,11.9,-,0.9
線西鄉,100,100.0,0.8,92.7,1.1,0.5,4.0,-,0.8
伸港鄉,101,100.0,2.4,80.1,4.6,3.0,9.1,-,0.9
福興鄉,100,100.0,2.8,92.1,2.9,0.2,1.1,-,1.0
秀水鄉,100,100.0,2.1,88.1,-,0.4,9.4,-,-
花壇鄉,101,100.0,2.5,79.9,5.4,2.6,7.3,-,2.3
芬園鄉,100,100.0,2.9,85.4,-,1.3,10.4,-,-
員林鎮,100,100.0,7.4,73.8,6.1,5.2,4.8,-,2.7
溪湖鎮,100,100.0,3.0,83.6,1.4,-,8.9,-,3.0
田中鎮,100,100.0,11.2,65.4,6.2,2.9,11.2,-,3.1
大村鄉,100,100.0,2.1,91.7,2.3,-,3.9,-,-
埔鹽鄉,100,100.0,2.2,93.7,1.2,-,2.9,-,-
埔心鄉,100,100.0,4.6,82.8,0.9,1.1,9.3,-,1.2
永靖鄉,100,100.0,7.6,80.5,4.1,-,7.6,-,0.3
社頭鄉,102,100.0,2.7,89.6,0.7,1.1,4.4,-,1.5
二水鄉,100,100.0,0.5,93.3,0.8,0.4,4.9,-,-
北斗鎮,100,100.0,2.2,82.5,0.5,3.0,7.6,1.8,2.3
二林鎮,101,100.0,11.0,83.4,1.1,-,0.7,2.9,0.9
田尾鄉,103,100.0,5.2,87.6,-,-,6.8,-,0.5
埤頭鄉,101,100.0,2.6,93.6,1.7,0.2,1.8,-,-
芳苑鄉,106,100.0,4.4,86.9,2.3,0.6,5.9,-,-
大城鄉,101,100.0,5.1,89.2,1.2,1.3,2.3,-,0.9
竹塘鄉,101,100.0,3.1,87.6,1.1,-,6.8,0.3,1.0
溪州鄉,100,100.0,5.9,83.9,-,0.3,8.7,-,1.3
南投縣,"2,618",100.0,11.7,72.9,3.7,4.2,5.7,0.3,1.5
南投市,103,100.0,6.9,70.3,2.4,9.2,11.3,-,-
埔里鎮,400,100.0,11.5,69.0,2.0,7.1,5.8,-,4.6
草屯鎮,101,100.0,8.0,78.6,0.2,3.5,7.2,-,2.6
竹山鎮,102,100.0,7.9,82.3,3.3,0.1,4.0,1.1,1.2
集集鎮,102,100.0,5.5,77.9,3.3,-,12.9,-,0.3
名間鄉,102,100.0,9.0,75.1,8.7,1.0,3.7,2.6,-
鹿谷鄉,102,100.0,4.8,90.0,2.3,1.1,1.8,-,-
中寮鄉,201,100.0,12.1,68.0,6.3,4.4,7.8,-,1.4
魚池鄉,102,100.0,9.5,69.0,18.7,1.8,0.8,-,0.2
國姓鄉,400,100.0,50.7,46.6,1.3,0.1,0.9,-,0.6
水里鄉,400,100.0,20.3,71.6,1.5,2.2,3.9,0.1,0.4
信義鄉,402,100.0,13.8,77.3,1.1,3.4,3.1,0.5,0.8
仁愛鄉,101,100.0,3.2,71.6,8.0,11.8,1.1,-,4.3
雲林縣,"2,652",100.0,5.9,82.2,2.3,1.2,7.1,0.1,1.1
斗六市,104,100.0,8.0,73.2,6.4,-,12.4,-,-
斗南鎮,101,100.0,1.2,73.5,3.4,4.4,12.6,-,4.8
虎尾鎮,100,100.0,1.3,93.0,1.3,1.5,2.9,-,-
西螺鎮,100,100.0,6.1,84.6,0.6,1.1,3.5,-,4.2
土庫鎮,105,100.0,2.7,84.3,6.4,1.0,3.4,-,2.1
北港鎮,102,100.0,4.9,78.7,3.5,2.4,8.7,-,1.7
古坑鄉,101,100.0,2.5,83.7,1.4,1.2,9.9,-,1.4
大埤鄉,102,100.0,2.2,87.2,2.0,0.8,7.8,-,-
莿桐鄉,100,100.0,2.9,86.9,1.2,-,7.1,-,1.9
林內鄉,100,100.0,8.6,87.8,1.2,-,1.6,-,0.7
二崙鄉,407,100.0,20.2,76.2,0.6,0.3,2.0,0.4,0.3
崙背鄉,412,100.0,23.8,69.6,0.7,0.8,4.8,0.1,0.2
麥寮鄉,101,100.0,8.8,83.6,1.5,0.4,3.2,1.0,1.4
東勢鄉,105,100.0,2.7,79.9,5.6,1.8,10.0,-,-
褒忠鄉,102,100.0,5.4,82.6,0.3,-,10.3,-,1.3
臺西鄉,100,100.0,10.5,77.4,-,1.5,10.6,-,-
元長鄉,103,100.0,3.5,90.3,0.5,2.0,2.9,0.8,-
四湖鄉,105,100.0,0.7,91.3,1.6,1.3,5.1,-,-
口湖鄉,100,100.0,0.6,90.1,-,-,9.3,-,-
水林鄉,102,100.0,1.2,85.5,1.0,1.6,9.1,-,1.6
嘉義縣,"1,819",100.0,4.4,81.2,2.8,3.7,6.5,0.4,1.1
太保市,101,100.0,3.3,86.7,2.5,3.0,4.5,-,-
朴子市,101,100.0,1.4,80.5,1.6,5.9,7.2,-,3.5
布袋鎮,104,100.0,-,83.3,2.2,4.7,7.2,-,2.6
大林鎮,102,100.0,6.5,88.2,2.1,-,1.0,2.2,-
民雄鄉,100,100.0,7.5,81.5,0.9,-,8.1,-,2.0
溪口鄉,100,100.0,2.7,83.1,0.6,-,12.9,-,0.7
新港鄉,101,100.0,3.4,84.1,2.2,3.4,5.8,0.6,0.5
六腳鄉,104,100.0,3.5,73.4,6.0,4.3,12.1,-,0.7
東石鄉,101,100.0,1.3,74.7,8.3,-,15.8,-,-
義竹鄉,101,100.0,8.1,82.5,0.3,-,7.2,-,2.0
鹿草鄉,100,100.0,2.2,77.6,-,-,17.4,2.8,-
水上鄉,100,100.0,3.4,81.0,5.5,5.3,4.8,-,-
中埔鄉,100,100.0,6.8,84.9,2.6,2.3,3.2,-,0.3
竹崎鄉,102,100.0,4.0,83.0,4.7,3.3,0.2,1.3,3.4
梅山鄉,101,100.0,3.4,90.8,1.9,0.8,3.3,-,-
番路鄉,100,100.0,11.9,78.1,5.3,2.4,1.2,-,1.1
大埔鄉,101,100.0,1.2,92.7,1.1,0.6,4.4,-,-
阿里山,100,100.0,7.1,36.1,2.2,53.2,0.5,-,0.8
屏東縣,"6,805",100.0,22.7,65.5,3.0,5.3,2.4,0.5,0.6
屏東市,601,100.0,18.6,70.1,4.1,2.6,3.2,0.3,1.2
潮州鎮,404,100.0,15.4,75.7,1.2,3.1,4.4,-,0.1
東港鎮,100,100.0,2.4,83.7,2.1,1.7,7.9,1.3,0.9
恆春鎮,101,100.0,4.8,79.5,0.9,11.6,2.1,1.1,-
萬丹鄉,106,100.0,6.6,89.2,1.5,1.8,1.0,-,-
長治鄉,404,100.0,37.4,57.4,2.2,1.0,1.6,0.2,0.3
麟洛鄉,402,100.0,65.4,27.6,5.4,1.0,0.4,-,0.1
九如鄉,104,100.0,4.5,91.4,2.3,-,1.4,-,0.5
里港鄉,104,100.0,5.4,82.3,1.4,5.8,5.1,-,-
鹽埔鄉,106,100.0,7.4,82.7,3.9,3.6,2.3,-,-
高樹鄉,415,100.0,36.5,47.2,11.0,0.7,2.8,0.5,1.2
萬巒鄉,409,100.0,40.7,55.1,0.7,2.5,0.2,-,0.8
內埔鄉,413,100.0,61.0,29.7,5.1,3.8,0.5,-,-
竹田鄉,401,100.0,63.6,28.8,2.9,0.5,1.5,2.7,-
新埤鄉,405,100.0,56.9,38.2,0.3,0.4,4.2,0.1,-
枋寮鄉,106,100.0,4.0,87.2,3.2,1.6,3.6,-,0.3
新園鄉,102,100.0,6.9,71.5,5.5,5.1,1.5,5.0,4.5
崁頂鄉,103,100.0,3.9,94.6,-,1.0,0.5,-,-
林邊鄉,104,100.0,5.6,91.3,2.8,-,0.3,-,-
南州鄉,100,100.0,6.7,91.0,0.4,0.9,1.1,-,-
佳冬鄉,409,100.0,34.6,64.4,0.7,-,0.3,-,-
琉球鄉,101,100.0,-,91.0,1.3,-,5.0,-,2.7
車城鄉,201,100.0,8.0,81.9,1.9,7.7,0.5,-,-
滿州鄉,201,100.0,9.0,71.5,2.3,13.3,3.9,-,-
枋山鄉,100,100.0,7.7,87.6,0.2,3.5,0.9,-,-
三地門,100,100.0,15.4,20.2,9.2,54.8,0.3,-,-
霧臺鄉,102,100.0,4.6,85.5,4.7,5.0,0.1,-,-
瑪家鄉,100,100.0,3.0,20.5,0.5,75.2,0.6,-,0.2
泰武鄉,100,100.0,4.2,59.3,1.5,33.9,1.1,-,-
來義鄉,101,100.0,6.5,53.7,0.7,38.7,0.5,-,-
春日鄉,100,100.0,9.3,57.7,0.4,18.2,14.1,-,0.3
獅子鄉,100,100.0,3.3,72.0,0.3,22.2,2.2,-,-
牡丹鄉,100,100.0,3.7,53.3,0.3,39.7,3.0,-,-
臺東縣,"2,636",100.0,13.9,59.9,6.4,13.9,4.8,0.4,0.5
臺東市,214,100.0,11.6,62.8,8.2,13.5,2.0,1.7,0.2
成功鎮,101,100.0,9.8,55.7,2.3,28.1,4.1,-,-
關山鎮,403,100.0,40.8,46.0,0.5,3.9,8.8,-,0.1
卑南鄉,100,100.0,5.6,55.8,6.4,31.6,0.5,-,-
鹿野鄉,401,100.0,31.4,58.5,3.7,6.3,0.1,-,-
池上鄉,400,100.0,36.8,42.4,15.4,5.1,0.2,-,0.1
東河鄉,109,100.0,9.3,60.3,0.8,26.0,3.6,-,-
長濱鄉,103,100.0,11.4,50.1,18.3,18.2,2.0,-,-
太麻里,101,100.0,6.7,55.6,4.0,30.0,3.2,-,0.5
大武鄉,100,100.0,4.9,60.7,8.2,13.6,11.9,-,0.6
綠島鄉,100,100.0,1.1,53.4,1.4,0.2,43.5,-,0.3
海端鄉,100,100.0,0.7,43.9,16.1,28.8,10.4,-,0.1
延帄鄉,104,100.0,0.8,87.6,7.1,3.5,0.7,-,0.3
金峰鄉,100,100.0,8.3,76.2,0.8,12.4,2.3,-,-
達仁鄉,100,100.0,1.3,73.0,1.0,9.3,0.9,-,14.4
蘭嶼鄉,100,100.0,4.6,75.7,-,7.6,12.2,-,-
花蓮縣,"4,030",100.0,24.7,52.6,5.6,13.7,2.7,0.2,0.4
花蓮市,405,100.0,20.0,60.3,7.7,7.1,4.5,0.5,0.1
鳳林鎮,401,100.0,43.7,42.7,3.9,7.7,0.7,0.5,0.9
玉里鎮,403,100.0,32.0,43.7,14.1,8.9,0.9,-,0.3
新城鄉,401,100.0,13.3,64.2,7.4,13.6,1.3,-,0.3
吉安鄉,404,100.0,31.5,50.3,4.2,8.7,4.5,-,0.8
壽豐鄉,404,100.0,25.0,60.8,1.8,10.2,1.7,0.1,0.3
光復鄉,405,100.0,25.0,40.0,5.3,21.7,7.3,-,0.7
豐濱鄉,104,100.0,2.8,52.5,6.8,33.9,2.2,1.7,0.3
瑞穗鄉,400,100.0,29.5,43.9,0.8,24.9,0.5,0.3,0.1
富里鄉,400,100.0,39.0,51.5,2.5,6.1,0.6,0.3,-
秀林鄉,102,100.0,2.2,43.7,2.8,50.7,0.7,-,-
萬榮鄉,100,100.0,10.6,15.2,4.6,69.3,0.3,-,-
卓溪鄉,101,100.0,0.3,72.5,3.1,22.9,0.8,0.4,-
澎湖縣,102,100.0,4.6,74.2,4.9,-,6.0,-,10.4
基隆市,710,100.0,5.6,75.2,9.9,3.3,4.6,0.5,0.8
中正區,102,100.0,1.3,86.0,3.0,5.3,3.5,-,1.0
七堵區,100,100.0,3.2,82.0,4.8,1.6,6.5,1.9,-
暖暖區,102,100.0,8.1,72.2,14.8,-,3.8,1.1,-
仁愛區,101,100.0,8.3,76.8,7.8,-,5.1,1.2,0.8
中山區,103,100.0,7.8,67.4,11.1,4.5,5.1,-,4.0
安樂區,101,100.0,6.4,68.2,14.5,6.3,4.4,-,0.2
信義區,101,100.0,5.1,76.3,12.4,2.4,3.9,-,-
新竹市,"1,575",100.0,26.2,62.2,7.0,1.0,3.0,0.0,0.5
東區,605,100.0,28.1,61.7,5.7,1.2,2.9,-,0.5
北區,562,100.0,23.3,61.4,10.2,0.8,4.0,-,0.3
